repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,supervised_baseline,S,supervised,,,,128,3,934,215,288,30,,5.7315435239246915,,1.6686904129000286,2.4184162093367814,2.104499235286485,0.5978983274043171,0.26554212310324654,0.3376529823119002,0.7785652583469361,0.5220956205997408,0.5937934081135663,0.43580882238645646,0.7497257964367527,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_01/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_01/graph_records_fold.pt
1,2,supervised_baseline,S,supervised,,,,128,3,934,215,288,35,,5.122904692377363,,1.5631326271610777,2.2726251885080764,2.276549875387675,0.6658443403739859,0.2680778395647546,0.14690532756920993,0.8221296716442539,0.5391226861701279,0.4689449812331261,0.7134172482265972,0.7094925613469987,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_02/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_02/graph_records_fold.pt
1,3,supervised_baseline,S,supervised,,,,128,3,934,216,287,37,,3.837273495537894,,1.6588409926663323,1.967300326928359,2.4360704492510203,0.6244656428005978,0.2396617196241133,0.21631920512839342,0.8117396989487631,0.5284429773289461,0.48743129864579937,0.777229456584688,0.30845933426202676,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_03/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_03/graph_records_fold.pt
1,4,supervised_baseline,S,supervised,,,,128,3,934,216,287,31,,4.936230327401843,,1.6394597506923931,2.2330442529170145,2.4369133676948755,0.5979363280165173,0.283933544030731,0.2762531532345035,0.7778800973206251,0.5585170147045853,0.5347534090987444,0.7974536170024824,0.5935845022246213,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_04/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_04/graph_records_fold.pt
1,5,supervised_baseline,S,supervised,,,,128,3,934,216,287,38,,5.024748257228306,,1.458989886938921,2.240968695180756,2.400888118052143,0.7049375435863993,0.27142447358419164,0.12295340201480842,0.8417734268583243,0.5488447396501995,0.44173593507699077,0.9418982311132218,0.7819788082418351,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_05/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_01/fold_05/graph_records_fold.pt
2,1,supervised_baseline,S,supervised,,,,128,3,934,215,288,40,,5.13472432749612,,1.4482848510504533,2.288832162056378,2.397090335425914,0.7064841480176126,0.2593940082040418,0.13841333459296756,0.8447841882498515,0.5286341708632352,0.4442375283473463,0.9488054843754608,0.8405473110059245,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_01/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_01/graph_records_fold.pt
2,2,supervised_baseline,S,supervised,,,,128,3,934,215,288,34,,5.061703724520547,,1.5929542942105357,2.261847468262694,2.4013917489256578,0.6263032099867059,0.2539845991890969,0.27281387084786346,0.7970422010978893,0.5295553921742235,0.5258305772100376,0.8084374547151221,0.6688931740521582,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_02/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_02/graph_records_fold.pt
2,3,supervised_baseline,S,supervised,,,,128,3,934,216,287,47,,5.666929466383798,,1.2327868888581603,2.407284159090955,2.2546075502461225,0.7783024545226702,0.2559011478385843,0.2785886967474549,0.8842042611249272,0.5395488409396638,0.568400821064462,1.0218206613879621,1.1744972702327945,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_03/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_03/graph_records_fold.pt
2,4,supervised_baseline,S,supervised,,,,128,3,934,216,287,39,,6.589712040764945,,1.3933668916980522,2.5869949258377396,2.278842280112303,0.7149980946483936,0.12984886774076654,0.2869184113554074,0.8568500924627948,0.4350659220290803,0.5556498438539427,0.885475388414251,1.1936280341396874,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_04/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_04/graph_records_fold.pt
2,5,supervised_baseline,S,supervised,,,,128,3,934,216,287,34,,4.2564923252378195,,1.7016620165440712,2.051152038750914,2.3919886119517546,0.611718924024232,0.32478356100432104,0.06942338996845332,0.8099840762659063,0.6072471409865601,0.4430468841487031,0.6903265954076834,0.3494900222068429,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_05/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_S/repeat_02/fold_05/graph_records_fold.pt
